v ATLAS
# This file was created by ATLAS version 5.26.1.R on Wed Apr 18 00:03:30 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
# Electrode #0 = 0 (V) 
# Electrode #1 = 1 (V) 
# Electrode #2 = 0.7 (V) 
# Electrode #3 = 0.7 (V) 
o 1 Energy (eV) 
o 2 Transmission  (electrons)  
o 3 DOS(1/eV cm)  (electrons)  x=0 
o 4 DOS(1/eV cm)  (electrons)  x=0.035 
o 5 J(A/eV)  (electrons)  x=0.01 
p 5 3000  3001  3002  3003  3004 
d  -1.05223958   1e-14   4e-15   1.38137304e+09   2.43413403e-26  
d  -1.05191971   1e-14   4e-15   1.36183709e+09   2.43413403e-26  
d  -1.05159983   1e-14   4e-15   1.30935152e+09   2.43413403e-26  
d  -1.05125038   1e-14   4e-15   1.22790306e+09   2.43413403e-26  
d  -1.05089109   1e-14   4e-15   1.12827137e+09   2.43413403e-26  
d  -1.05053179   1e-14   4e-15   1.02014825e+09   2.43413403e-26  
d  -1.05018596   1e-14   4e-15   913160657   2.43413403e-26  
d  -1.04984529   1e-14   4e-15   808452323   2.43413403e-26  
d  -1.04944887   1e-14   4e-15   690677880   2.43413403e-26  
d  -1.04902098   1e-14   4e-15   571386042   2.43413403e-26  
d  -1.04858903   1e-14   4e-15   461391215   2.43413403e-26  
d  -1.0481421   1e-14   4e-15   360031292   2.43413403e-26  
d  -1.04767578   1e-14   4e-15   268519179   2.43413403e-26  
d  -1.04720387   1e-14   4e-15   190851088   2.43413403e-26  
d  -1.04670399   1e-14   4e-15   124551736   2.43413403e-26  
d  -1.04620248   1e-14   4e-15   73669836.3   2.43413403e-26  
d  -1.04580283   1e-14   4e-15   43543102.3   2.43413403e-26  
d  -1.04526996   1e-14   4e-15   16455293.3   2.43413403e-26  
d  -1.04471056   1e-14   4e-15   2318590.94   2.43413403e-26  
d  -1.04414508   1e-14   4e-15   795757.447   2.43413403e-26  
d  -1.04354908   1e-14   4e-15   10714961.4   2.43413403e-26  
d  -1.04294565   1e-14   4e-15   30370699.4   2.43413403e-26  
d  -1.04231548   1e-14   4e-15   58691842.5   2.43413403e-26  
d  -1.04169901   1e-14   4e-15   91801377.7   2.43413403e-26  
d  -1.0411725   1e-14   4e-15   122765527   2.43413403e-26  
d  -1.04048906   1e-14   4e-15   164740189   2.43413403e-26  
d  -1.0397901   1e-14   4e-15   207760411   2.43413403e-26  
d  -1.0390625   1e-14   4e-15   250695561   2.43413403e-26  
d  -1.03831288   1e-14   4e-15   291278434   2.43413403e-26  
d  -1.03755692   1e-14   4e-15   327133007   2.43413403e-26  
d  -1.03699893   1e-14   4e-15   349779302   2.43413403e-26  
d  -1.03628452   1e-14   4e-15   373612182   2.43413403e-26  
d  -1.03559329   1e-14   4e-15   390930272   2.43413403e-26  
d  -1.03494493   1e-14   4e-15   401997758   2.43413403e-26  
d  -1.03431695   1e-14   4e-15   408028041   2.43413403e-26  
d  -1.03371386   1e-14   4e-15   409642369   2.43413403e-26  
d  -1.03321206   1e-14   4e-15   408027155   2.43413403e-26  
d  -1.03272305   1e-14   4e-15   404024914   2.43413403e-26  
d  -1.03218945   1e-14   4e-15   397115041   2.43413403e-26  
d  -1.0316761   1e-14   4e-15   388169910   2.43413403e-26  
d  -1.0311856   1e-14   4e-15   377718783   2.43413403e-26  
d  -1.03071894   1e-14   4e-15   366229303   2.43413403e-26  
d  -1.03026338   1e-14   4e-15   353724771   2.43413403e-26  
d  -1.02984681   1e-14   4e-15   341313612   2.43413403e-26  
d  -1.02932609   1e-14   4e-15   324678901   2.43413403e-26  
d  -1.02896859   1e-14   4e-15   312650545   2.43413403e-26  
d  -1.02869157   1e-14   4e-15   303045330   2.43413403e-26  
d  -1.0283312   1e-14   4e-15   290238868   2.43413403e-26  
d  -1.02796054   1e-14   4e-15   276771420   2.43413403e-26  
d  -1.02758636   1e-14   4e-15   1.11554547e+09   2.43413403e-26  
d  -1.02721218   1e-14   4e-15   1.45664198e+09   2.43413403e-26  
d  -1.02677862   1e-14   4e-15   1.57945475e+09   2.43413403e-26  
d  -1.02633968   1e-14   4e-15   1.57291913e+09   2.43413403e-26  
d  -1.02587032   1e-14   4e-15   1.48990629e+09   2.43413403e-26  
d  -1.02537127   1e-14   4e-15   1.35597433e+09   2.43413403e-26  
d  -1.02485014   1e-14   4e-15   1.19264104e+09   2.43413403e-26  
d  -1.02443292   1e-14   4e-15   1.05630217e+09   2.43413403e-26  
d  -1.02386368   1e-14   4e-15   873344434   2.43413403e-26  
d  -1.02325193   1e-14   4e-15   689912113   2.43413403e-26  
d  -1.02261281   1e-14   4e-15   519627335   2.43413403e-26  
d  -1.02194669   1e-14   4e-15   369060955   2.43413403e-26  
d  -1.02123137   1e-14   4e-15   239119346   2.43413403e-26  
d  -1.02048762   1e-14   4e-15   137773629   2.43413403e-26  
d  -1.01990748   1e-14   4e-15   80881639.5   2.43413403e-26  
d  -1.01908955   1e-14   4e-15   30049386.5   2.43413403e-26  
d  -1.01823269   1e-14   4e-15   8343294.9   2.43413403e-26  
d  -1.01733237   1e-14   4e-15   13491390.1   2.43413403e-26  
d  -1.01638432   1e-14   4e-15   42306394.7   2.43413403e-26  
d  -1.01564066   1e-14   4e-15   76956828.5   2.43413403e-26  
d  -1.01459836   1e-14   4e-15   136884006   2.43413403e-26  
d  -1.01349914   1e-14   4e-15   207241005   2.43413403e-26  
d  -1.01233727   1e-14   4e-15   282263112   2.43413403e-26  
d  -1.01141871   1e-14   4e-15   338189364   2.43413403e-26  
d  -1.01013217   1e-14   4e-15   407291517   2.43413403e-26  
d  -1.00876215   1e-14   4e-15   465574836   2.43413403e-26  
d  -1.00767983   1e-14   4e-15   499187554   2.43413403e-26  
d  -1.00615562   1e-14   4e-15   527781728   2.43413403e-26  
d  -1.0045184   1e-14   4e-15   535849849   2.43413403e-26  
d  -1.00321474   1e-14   4e-15   527846421   2.43413403e-26  
d  -1.0013583   1e-14   4e-15   499177657   2.43413403e-26  
d  -0.999349913   1e-14   4e-15   452512088   2.43413403e-26  
d  -0.997729381   1e-14   4e-15   408463518   2.43413403e-26  
d  -0.995390172   1e-14   4e-15   342739078   2.43413403e-26  
d  -0.99347628   1e-14   4e-15   292352657   2.43413403e-26  
d  -0.99077733   1e-14   4e-15   232789048   2.43413403e-26  
d  -0.988353054   1e-14   4e-15   193911565   2.43413403e-26  
d  -0.98579755   1e-14   4e-15   168533462   2.43413403e-26  
d  -0.982290383   1e-14   4e-15   156676841   2.43413403e-26  
d  -0.978734949   1e-14   4e-15   164542230   2.43413403e-26  
d  -0.97590422   1e-14   4e-15   179210505   2.43413403e-26  
d  -0.97340154   1e-14   4e-15   194943299   2.43413403e-26  
d  -0.970473391   1e-14   4e-15   213933115   2.43413403e-26  
d  -0.968538826   1e-14   4e-15   226206985   2.43413403e-26  
d  -0.966300987   1e-14   4e-15   241776046   2.43413403e-26  
d  -0.964883568   1e-14   4e-15   260864255   2.43413403e-26  
d  -0.962927212   1e-14   4e-15   1.63099406e+09   2.43413403e-26  
d  -0.960991476   1e-14   4e-15   1.12467853e+09   2.43413403e-26  
d  -0.957539046   1e-14   4e-15   426504625   2.43413403e-26  
d  -0.954027397   1e-14   4e-15   343334082   2.43413403e-26  
d  -0.949301966   1e-14   4e-15   500678121   2.43413403e-26  
d  -0.944099124   1e-14   4e-15   518709347   2.43413403e-26  
d  -0.936007018   1e-14   4e-15   298299009   2.43413403e-26  
d  -0.927125231   1e-14   4e-15   201347127   2.43413403e-26  
d  -0.918054932   1e-14   4e-15   294025371   2.43413403e-26  
d  -0.905268286   1e-14   4e-15   374482882   2.43413403e-26  
d  -0.888933971   1e-14   4e-15   280775424   2.43413403e-26  
d  -0.875239103   1e-14   4e-15   206034423   2.43413403e-26  
d  -0.859229658   1e-14   4e-15   704126824   2.43413403e-26  
d  -0.842255765   1e-14   4e-15   567725763   2.43413403e-26  
d  -0.825281872   1e-14   4e-15   293454250   2.43413403e-26  
d  -0.811575608   1e-14   4e-15   480112854   2.43413403e-26  
d  -0.795577559   1e-14   4e-15   386329336   2.43413403e-26  
d  -0.778603666   1e-14   4e-15   88376957.8   2.43413403e-26  
d  -0.761629773   1e-14   4e-15   149152757   2.43413403e-26  
d  -0.74465588   1e-14   4e-15   365840406   2.43413403e-26  
d  -0.727681987   1e-14   4e-15   514258321   2.43413403e-26  
d  -0.710708094   1e-14   4e-15   600849344   2.43413403e-26  
d  -0.693734201   1e-14   4e-15   151230892   2.43413403e-26  
d  -0.676760307   1e-14   4e-15   386974170   2.43413403e-26  
d  -0.659786414   1e-14   4e-15   372415001   2.43413403e-26  
d  -0.642812521   1e-14   4e-15   233747634   2.43413403e-26  
d  -0.625838628   1e-14   4e-15   272207961   2.43413403e-26  
d  -0.608864735   1e-14   4e-15   343791669   2.43413403e-26  
d  -0.591890842   1e-14   4e-15   323049362   2.43413403e-26  
d  -0.574916949   1e-14   4e-15   1.13222342e+09   2.43413403e-26  
d  -0.557943056   1e-14   4e-15   509743388   2.43413403e-26  
d  -0.540969163   1e-14   4e-15   342207389   2.43413403e-26  
d  -0.52399527   1e-14   4e-15   399744691   2.43413403e-26  
d  -0.507021377   1e-14   4e-15   449529765   2.43413403e-26  
d  -0.490047483   1e-14   4e-15   283943169   2.43413403e-26  
d  -0.47307359   1e-14   4e-15   186842397   2.43413403e-26  
d  -0.456099697   1e-14   4e-15   282369603   2.43413403e-26  
d  -0.439125804   1e-14   4e-15   380508435   2.43413403e-26  
d  -0.422151911   1e-14   4e-15   363794515   2.43413403e-26  
d  -0.405178018   1e-14   4e-15   309518495   2.43413403e-26  
d  -0.388204125   1e-14   4e-15   887714358   2.43413403e-26  
d  -0.371230232   1e-14   4e-15   640159767   2.43413403e-26  
d  -0.354256339   1e-14   4e-15   238658361   2.43413403e-26  
d  -0.337282446   1e-14   4e-15   377190900   2.43413403e-26  
d  -0.320308552   1e-14   4e-15   355720494   2.43413403e-26  
d  -0.303334659   1e-14   4e-15   280144722   2.43413403e-26  
d  -0.286360766   1e-14   4e-15   383888437   2.43413403e-26  
d  -0.269386873   1e-14   4e-15   455655900   2.43413403e-26  
d  -0.25241298   1e-14   4e-15   377637905   2.43413403e-26  
d  -0.235439087   1e-14   4e-15   273538185   2.43413403e-26  
d  -0.218465194   1e-14   4e-15   256292421   2.43413403e-26  
d  -0.201491301   1e-14   4e-15   288041318   2.43413403e-26  
d  -0.184517408   1e-14   4e-15   282415080   2.43413403e-26  
d  -0.174543311   1e-14   4e-15   870635564   2.43413403e-26  
d  -0.167543515   1e-14   4e-15   270958672   2.43413403e-26  
d  -0.163463229   1e-14   4e-15   445767714   2.43413403e-26  
d  -0.160520284   1e-14   4e-15   557188382   2.43413403e-26  
d  -0.15816982   1e-14   4e-15   598433020   2.43413403e-26  
d  -0.15557377   1e-14   4e-15   592242229   2.43413403e-26  
d  -0.15389775   1e-14   4e-15   564803499   2.43413403e-26  
d  -0.151919117   1e-14   4e-15   516486401   2.43413403e-26  
d  -0.150569621   1e-14   8.8817842e-09   477789814   2.43413403e-26  
d  -0.148958711   1e-14   8.8817842e-09   429618103   2.43413403e-26  
d  -0.147478627   1e-14   3.55271368e-08   386584234   2.43413403e-26  
d  -0.146326148   1e-14   1.77635684e-08   355556953   2.43413403e-26  
d  -0.145149871   1e-14   3.55271368e-08   327210066   2.43413403e-26  
d  -0.143943164   1e-14   5.32907052e-08   302417135   2.43413403e-26  
d  -0.142813959   1e-14   6.21724894e-08   283669605   2.43413403e-26  
d  -0.142015726   1e-14   6.21724894e-08   273189240   2.43413403e-26  
d  -0.141006692   1e-14   7.99360578e-08   263325661   2.43413403e-26  
d  -0.140059084   1e-14   9.76996262e-08   257519780   2.43413403e-26  
d  -0.139168498   1e-14   1.33226763e-07   255070189   2.43413403e-26  
d  -0.138334412   1e-14   1.59872116e-07   255335941   2.43413403e-26  
d  -0.137761173   1e-14   1.687539e-07   256897787   2.43413403e-26  
d  -0.136860436   1e-14   2.13162821e-07   261504822   2.43413403e-26  
d  -0.136188937   1e-14   2.48689958e-07   266550977   2.43413403e-26  
d  -0.13558192   1e-14   2.93098879e-07   272214169   2.43413403e-26  
d  -0.134951154   1e-14   3.01980663e-07   279127762   2.43413403e-26  
d  -0.134221702   1e-14   3.64153152e-07   288320500   2.43413403e-26  
d  -0.133595728   1e-14   4.17443857e-07   297134185   2.43413403e-26  
d  -0.13273971   1e-14   4.70734562e-07   310399862   2.43413403e-26  
d  -0.131763944   1e-14   6.03961325e-07   326958387   2.43413403e-26  
d  -0.130676868   1e-14   7.37188088e-07   346801044   2.43413403e-26  
d  -0.129468804   1e-14   9.68114477e-07   370018222   2.43413403e-26  
d  -0.128480424   1e-14   1.19015908e-06   389499932   2.43413403e-26  
d  -0.127030613   1e-14   1.5720758e-06   418139178   2.43413403e-26  
d  -0.125576694   1e-14   2.16715534e-06   446078967   2.43413403e-26  
d  -0.124570536   1e-14   2.7000624e-06   464503518   2.43413403e-26  
d  -0.123334291   1e-14   3.49054119e-06   485704715   2.43413403e-26  
d  -0.122216703   1e-14   4.43201031e-06   503202312   2.43413403e-26  
d  -0.121217213   1e-14   5.48894263e-06   517304158   2.43413403e-26  
d  -0.120558409   1e-14   6.33271213e-06   525729317   2.43413403e-26  
d  -0.119556942   1e-14   7.86037901e-06   537130450   2.43413403e-26  
d  -0.118375513   1e-14   1.01962883e-05   548298896   2.43413403e-26  
d  -0.116975658   1e-14   1.38733469e-05   558225424   2.43413403e-26  
d  -0.115755749   1e-14   1.81366033e-05   563915209   2.43413403e-26  
d  -0.113891004   1e-14   2.7533531e-05   567360893   2.43413403e-26  
d  -0.112255497   1e-14   3.98703293e-05   565390154   2.43413403e-26  
d  -0.109732392   1e-14   7.10098647e-05   554094223   2.43413403e-26  
d  -0.107494371   1e-14   0.000119531052   536981041   2.43413403e-26  
d  -0.10391786   1e-14   0.000279589685   499676158   2.43413403e-26  
d  -0.100646563   1e-14   0.00062090777   459675684   2.43413403e-26  
d  -0.096656027   1e-14   0.0016929036   410328332   2.43413403e-26  
d  -0.0922632069   1e-14   0.00533257882   363106310   2.43413403e-26  
d  -0.0892311897   1e-14   0.0121371979   338063722   2.43413403e-26  
d  -0.0869175223   1e-14   0.0231742003   323915312   2.43413403e-26  
d  -0.0846294722   1e-14   0.0447458248   314302389   2.43413403e-26  
d  -0.0827349953   1e-14   0.0783480658   309564125   2.43413403e-26  
d  -0.0815091226   1e-14   0.113500205   307974403   2.43413403e-26  
d  -0.080056321   1e-14   0.17770601   307493076   2.43413403e-26  
d  -0.0787870641   1e-14   0.265213691   308224725   2.43413403e-26  
d  -0.0779085949   1e-14   0.351708156   309308097   2.43413403e-26  
d  -0.076837762   1e-14   0.499190085   311210919   2.43413403e-26  
d  -0.0758509997   1e-14   0.693705573   313478013   2.43413403e-26  
d  -0.0749440975   1e-14   0.944136644   315949457   2.43413403e-26  
d  -0.0741871025   1e-14   1.22671694   318265458   2.43413403e-26  
d  -0.0734912557   1e-14   1.56660342   320574768   2.43413403e-26  
d  -0.0727214836   1e-14   2.0628438   323306663   2.43413403e-26  
d  -0.0720060798   1e-14   2.6763947   325990279   2.43413403e-26  
d  -0.0713180661   1e-14   3.45353881   328682547   2.43413403e-26  
d  -0.0706592501   1e-14   4.42797111   331345563   2.43413403e-26  
d  -0.070040618   1e-14   5.61555789   333907285   2.43413403e-26  
d  -0.0695823981   1e-14   6.71489839   335834997   2.43413403e-26  
d  -0.0690088826   1e-14   8.42890508   338275132   2.43413403e-26  
d  -0.0684415832   1e-14   10.5982123   340709508   2.43413403e-26  
d  -0.0679140173   1e-14   13.1657158   342983393   2.43413403e-26  
d  -0.067386761   1e-14   16.4198592   345257849   2.43413403e-26  
d  -0.0668959118   1e-14   20.247455   347370501   2.43413403e-26  
d  -0.0664056079   1e-14   25.0624218   349470312   2.43413403e-26  
d  -0.0659437094   1e-14   30.7627139   351433837   2.43413403e-26  
d  -0.0656017435   1e-14   35.8972648   352875632   2.43413403e-26  
d  -0.065154037   1e-14   44.0958846   354744617   2.43413403e-26  
d  -0.0647302917   1e-14   53.7907064   356490835   2.43413403e-26  
d  -0.0643065464   1e-14   65.8950945   358211632   2.43413403e-26  
d  -0.0639059606   1e-14   80.1681272   359812170   2.43413403e-26  
d  -0.0635127373   1e-14   97.5986593   361355983   2.43413403e-26  
d  -0.0631214957   1e-14   119.242969   362862822   2.43413403e-26  
d  -0.0627575676   1e-14   144.300654   364236361   2.43413403e-26  
d  -0.0623936395   1e-14   175.434114   365581031   2.43413403e-26  
d  -0.062034278   1e-14   213.817647   366878864   2.43413403e-26  
d  -0.0616989113   1e-14   258.427362   368061804   2.43413403e-26  
d  -0.0614473862   1e-14   298.887351   368930366   2.43413403e-26  
d  -0.0611120195   1e-14   364.616813   370062647   2.43413403e-26  
d  -0.0607980716   1e-14   441.605599   371094971   2.43413403e-26  
d  -0.0604910935   1e-14   535.610008   372077649   2.43413403e-26  
d  -0.0601841153   1e-14   653.68252   373033088   2.43413403e-26  
d  -0.059886019   1e-14   798.494103   373934082   2.43413403e-26  
d  -0.0596079451   1e-14   968.767326   374750149   2.43413403e-26  
d  -0.0593298711   1e-14   1183.86738   375542112   2.43413403e-26  
d  -0.0590517971   1e-14   1458.64692   376309467   2.43413403e-26  
d  -0.0587889501   1e-14   1792.2171   377011742   2.43413403e-26  
d  -0.0585412228   1e-14   2195.57579   377652747   2.43413403e-26  
d  -0.0582934956   1e-14   2716.91964   378273177   2.43413403e-26  
d  -0.0580457683   1e-14   3402.3138   378872735   2.43413403e-26  
d  -0.0578056779   1e-14   4289.48979   379433623   2.43413403e-26  
d  -0.0575911447   1e-14   5350.39879   379917790   2.43413403e-26  
d  -0.0573766116   1e-14   6784.37681   380385725   2.43413403e-26  
d  -0.0572132094   1e-14   8242.71804   380731143   2.43413403e-26  
d  -0.0570011786   1e-14   10862.8771   381165070   2.43413403e-26  
d  -0.0567850057   1e-14   14950.5902   381590723   2.43413403e-26  
d  -0.0565358927   1e-14   23390.3355   382060078   2.43413403e-26  
d  -0.0562867797   1e-14   45196.7297   382506580   2.43413403e-26  
d  -0.0560376668   8.21987169e-05   929602518   382930032   3.0685159e-08  
d  -0.0557885538   0.000138107094   1.36431454e+09   383330266   5.14234613e-08  
d  -0.0555046487   0.000183872224   1.55148388e+09   383757876   6.826246e-08  
d  -0.0552120173   0.000223199671   1.59401994e+09   384166607   8.26103613e-08  
d  -0.054919386   0.000258281332   1.55382287e+09   384542615   9.53022243e-08  
d  -0.0546195258   0.0002915281   1.46322111e+09   384893763   1.07230968e-07  
d  -0.0542874516   0.000326272246   1.33047004e+09   385242088   1.19590018e-07  
d  -0.0539553774   0.000359571623   1.18137036e+09   385547600   1.31330978e-07  
d  -0.0536233031   0.000391922466   1.02771381e+09   385810133   1.42639833e-07  
d  -0.0532545902   0.00042714809   860962070   386051128   1.54845454e-07  
d  -0.0529697361   0.000454074224   739009808   386200853   1.64100765e-07  
d  -0.0526091232   0.000488013431   596495149   386344765   1.75677125e-07  
d  -0.0522096569   0.00052564389   456583452   386444648   1.88399666e-07  
d  -0.0518059164   0.000563938242   335673364   386482077   2.01229921e-07  
d  -0.0513935649   0.000603525889   233573493   386454533   2.14375648e-07  
d  -0.0509562543   0.00064623921   148013806   386352960   2.28432104e-07  
d  -0.0505189438   0.000689895806   84195223.5   386177277   2.42670384e-07  
d  -0.0500543521   0.000737510634   37858761.8   385909989   2.58060582e-07  
d  -0.0495844351   0.000787168534   10701251.4   385555825   2.73966676e-07  
d  -0.049095856   0.000840611103   329760.88   385099134   2.90931554e-07  
d  -0.0487194825   0.000883177993   2744886.22   384686511   3.04337592e-07  
d  -0.0482105466   0.000942866864   17692160.8   384045473   3.22987729e-07  
d  -0.0476772852   0.00100828512   44569348.7   383272841   3.43242961e-07  
d  -0.0471365063   0.0010779282   80192822.5   382385762   3.64609882e-07  
d  -0.0465721327   0.0011544958   123103137   381351136   3.87885875e-07  
d  -0.0459964201   0.00123707224   169922741   380183939   4.12755801e-07  
d  -0.0454011161   0.00132764543   218865279   378861536   4.39778991e-07  
d  -0.0447876335   0.0014270094   267497176   377379669   4.69143223e-07  
d  -0.0443180077   0.00150755317   302291259   376166170   4.92745905e-07  
d  -0.0436717878   0.00162527559   345415563   374388124   5.2694679e-07  
d  -0.0430135297   0.00175410646   382574458   372453071   5.64003118e-07  
d  -0.0423254477   0.00189931838   413285092   370302992   6.05346078e-07  
d  -0.0416362032   0.002056635   435333447   368025605   6.49671695e-07  
d  -0.0409457988   0.00222728961   448692516   365627470   6.97258488e-07  
d  -0.0402992312   0.00240011525   453580514   363282038   7.44969039e-07  
d  -0.0398186755   0.00253741468   452716406   361480178   7.82553304e-07  
d  -0.0392158736   0.00272118015   446624240   359153611   8.32447756e-07  
d  -0.0384851951   0.00296262979   432519837   356241416   8.97346605e-07  
