v ATLAS
# This file was created by ATLAS version 5.26.1.R on Wed Apr 18 00:00:21 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
# Electrode #0 = 0 (V) 
# Electrode #1 = 0 (V) 
# Electrode #2 = 0 (V) 
# Electrode #3 = 0 (V) 
o 1 Energy (eV) 
o 2 Transmission  (electrons)  
o 3 DOS(1/eV cm)  (electrons)  x=0 
o 4 DOS(1/eV cm)  (electrons)  x=0.035 
o 5 J(A/eV)  (electrons)  x=0.01 
p 5 3000  3001  3002  3003  3004 
d  -0.059965903   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0597425519   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0595192009   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0593060603   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0591481165   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0589375249   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0587269332   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0585286176   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0583307452   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0581328728   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0578906605   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0577056205   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0575205805   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0573355405   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0571546961   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0569827876   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0568108792   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0566389707   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0564670623   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0563078342   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.056151883   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0560309142   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0558726742   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0557144342   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0555693657   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0554256548   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0552819439   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.055138233   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0549945221   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0548611737   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0547333308   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0546054878   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0544776448   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0543498018   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0542219588   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0540708294   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0539118327   1e-14   303275649   303275466   -3.65348636e-21  
d  -0.0537528361   1e-14   885087536   885087511   2.69338225e-21  
d  -0.0535938394   1e-14   1.13972642e+09   1.13972642e+09   4.18258026e-21  
d  -0.0534348427   1e-14   1.29210963e+09   1.29210964e+09   -2.98246356e-21  
d  -0.0532559945   1e-14   1.39488705e+09   1.39488706e+09   -9.52553237e-21  
d  -0.0531218439   1e-14   1.43996229e+09   1.43996231e+09   4.75587831e-21  
d  -0.0529429763   1e-14   1.46958315e+09   1.46958317e+09   3.20401385e-20  
d  -0.0527641088   1e-14   1.47321326e+09   1.47321328e+09   -3.90842739e-20  
d  -0.0525755047   1e-14   1.45621954e+09   1.45621956e+09   -2.12750035e-20  
d  -0.0523782002   1e-14   1.42145416e+09   1.42145417e+09   -3.77408932e-20  
d  -0.0521808957   1e-14   1.37388927e+09   1.37388928e+09   -2.11834563e-20  
d  -0.0519835912   1e-14   1.31702811e+09   1.31702812e+09   -2.11376152e-20  
d  -0.0517740823   1e-14   1.2494825e+09   1.2494825e+09   2.34320995e-21  
d  -0.0515593826   1e-14   1.17518156e+09   1.17518157e+09   4.67531214e-21  
d  -0.0513446829   1e-14   1.09784173e+09   1.09784173e+09   -2.56530599e-20  
d  -0.0511269084   1e-14   1.01800399e+09   1.01800399e+09   -2.79174128e-20  
d  -0.0508955984   1e-14   933194773   933194771   3.24862775e-20  
d  -0.0506642884   1e-14   849635945   849635941   4.62887806e-21  
d  -0.0504329784   1e-14   768325014   768325009   -2.77010763e-20  
d  -0.0501869252   1e-14   685152112   685152107   -1.38120978e-20  
d  -0.0500014389   1e-14   625129286   625129280   -2.2971817e-20  
d  -0.0497541238   1e-14   549097561   549097555   -4.58145804e-21  
d  -0.0494972036   1e-14   475316207   475316200   -1.37041071e-20  
d  -0.0492343569   1e-14   405599087   405599080   -5.00971594e-20  
d  -0.0489715102   1e-14   341867805   341867799   -1.36215664e-20  
d  -0.0486973542   1e-14   281819965   281819959   -9.0522945e-21  
d  -0.0484193491   1e-14   227576600   227576595   -6.31617331e-20  
d  -0.0481408929   1e-14   179817057   179817052   3.14784091e-20  
d  -0.0478480236   1e-14   136454917   136454913   4.4815017e-21  
d  -0.0475551544   1e-14   99838630.2   99838626.7   4.46606798e-20  
d  -0.0472556641   1e-14   69008653.2   69008650.3   2.67015902e-20  
d  -0.047025037   1e-14   49572550.2   49572547.8   2.6628491e-20  
d  -0.0467175343   1e-14   29116085.7   29116083.9   -7.07491029e-20  
d  -0.0463992299   1e-14   14043449.9   14043448.7   4.40496255e-20  
d  -0.0460772717   1e-14   4569023.57   4569022.92   -3.51031194e-20  
d  -0.0457495528   1e-14   312746.527   312746.364   -8.74097719e-21  
d  -0.0454132732   1e-14   992212.027   992212.302   -4.35260862e-20  
d  -0.0450747583   1e-14   6228207.79   6228208.43   -3.46766838e-20  
d  -0.0447242536   1e-14   15825907.1   15825908.1   8.63179717e-21  
d  -0.0443737044   1e-14   29048400.4   29048401.6   -6.87549415e-20  
d  -0.0440418213   1e-14   44363880.7   44363882.1   -8.55888498e-21  
d  -0.0437355379   1e-14   60490461.2   60490462.7   1.70521997e-20  
d  -0.0433612253   1e-14   82271097.1   82271098.7   3.39439285e-20  
d  -0.0429824313   1e-14   106063995   106063997   -7.60079558e-20  
d  -0.0425939   1e-14   131712314   131712316   3.361429e-20  
d  -0.0422009871   1e-14   158376133   158376135   -8.36128793e-21  
d  -0.0417972173   1e-14   186007038   186007040   8.31777568e-21  
d  -0.0413901705   1e-14   213610334   213610335   8.2738508e-21  
d  -0.0410143058   1e-14   238499355   238499357   -1.64664779e-20  
d  -0.0406542685   1e-14   261518591   261518593   2.45828747e-20  
d  -0.0402206609   1e-14   287855333   287855334   1.05915261e-19  
d  -0.0397855234   1e-14   312455078   312455080   1.62002728e-20  
d  -0.0393523111   1e-14   334862961   334862962   -1.36902598e-19  
d  -0.0389271264   1e-14   354638959   354638960   -6.40549365e-20  
d  -0.0385142703   1e-14   371605708   371605708   -7.96192888e-21  
d  -0.0381123713   1e-14   385921202   385921203   -4.75088165e-20  
d  -0.0378172569   1e-14   395021041   395021041   6.3087602e-20  
d  -0.037431122   1e-14   405105170   405105171   -7.84380188e-20  
d  -0.0370561545   1e-14   412921781   412921782   2.43413403e-26  
d  -0.036688013   1e-14   418720030   418720031   -3.10503177e-20  
d  -0.0363308453   1e-14   422599901   422599901   7.72349221e-20  
d  -0.0359783198   1e-14   424784680   424784680   6.14790701e-20  
d  -0.035638367   1e-14   425390889   425390890   4.58857548e-20  
d  -0.0352992326   1e-14   424580194   424580194   1.52208655e-20  
d  -0.034976048   1e-14   422545350   422545350   1.51499336e-20  
d  -0.0347336595   1e-14   420244237   420244238   2.43413403e-26  
d  -0.034418095   1e-14   416297665   416297666   1.05191654e-19  
d  -0.0341113781   1e-14   411480920   411480920   2.99199201e-20  
d  -0.0338046812   1e-14   405752530   405752530   4.46775383e-20  
d  -0.0335142911   1e-14   399538952   399538952   1.48286231e-20  
d  -0.033223901   1e-14   392606747   392606747   -4.42941218e-20  
d  -0.0329400786   1e-14   385184309   385184309   5.8808852e-20  
d  -0.0326660539   1e-14   377455299   377455299   -2.92837098e-20  
d  -0.0323920292   1e-14   369216060   369216060   -5.83259092e-20  
d  -0.0321287395   1e-14   360858214   360858214   1.45234477e-20  
d  -0.0319317595   1e-14   354345138   354345138   -4.34400678e-20  
d  -0.0316782712   1e-14   345663629   345663628   5.7696511e-20  
d  -0.0314287893   1e-14   336819225   336819225   2.87382076e-20  
d  -0.0311884984   1e-14   328048339   328048339   -8.58965771e-20  
d  -0.0309482075   1e-14   319057606   319057606   2.43413403e-26  
d  -0.0307136828   1e-14   310096425   310096425   2.43413403e-26  
d  -0.0304913461   1e-14   301453673   301453673   -4.24867628e-20  
d  -0.0302690094   1e-14   292688580   292688580   -4.23395316e-20  
d  -0.0300466727   1e-14   283821369   283821368   2.43413403e-26  
d  -0.0298421389   1e-14   275591013   275591013   -4.20568152e-20  
d  -0.0296390389   1e-14   267364294   267364294   4.19222857e-20  
d  -0.0294359389   1e-14   259098166   259098166   -2.78584987e-20  
d  -0.029237247   1e-14   250986834   250986834   -5.55414987e-20  
d  -0.0290553238   1e-14   243549766   243549766   8.3071209e-20  
d  -0.0289042441   1e-14   237373232   237373232   -1.10494709e-19  
d  -0.0287369584   1e-14   230540717   230540717   -2.75497931e-20  
d  -0.0285550353   1e-14   223126256   223126255   -1.3734722e-20  
d  -0.0283417083   1e-14   214464712   214464711   2.73752254e-20  
d  -0.0281209248   1e-14   687038790   687038738   -1.35059137e-20  
d  -0.0279001414   1e-14   1.17425348e+09   1.17425348e+09   -5.41179063e-20  
d  -0.0276679676   1e-14   1.39795084e+09   1.39795085e+09   -4.08713567e-20  
d  -0.0274178685   1e-14   1.51655205e+09   1.51655206e+09   -1.33781463e-20  
d  -0.0271677694   1e-14   1.56385912e+09   1.56385913e+09   1.20973839e-19  
d  -0.0269075167   1e-14   1.56502716e+09   1.56502717e+09   4.01717117e-20  
d  -0.0265605708   1e-14   1.51727107e+09   1.51727108e+09   -2.61598001e-20  
d  -0.0262830141   1e-14   1.45261823e+09   1.45261824e+09   3.8741917e-20  
d  -0.0259819155   1e-14   1.36570234e+09   1.36570235e+09   1.36302004e-20  
d  -0.0257541226   1e-14   1.29248503e+09   1.29248503e+09   -2.65664177e-20  
d  -0.0254462607   1e-14   1.18764295e+09   1.18764295e+09   -2.7207222e-20  
d  -0.0251172903   1e-14   1.07233402e+09   1.07233402e+09   6.56290158e-20  
d  -0.0247883198   1e-14   957245762   957245760   -2.53277468e-20  
d  -0.024437988   1e-14   837917901   837917898   -3.78271559e-20  
d  -0.0240844334   1e-14   723144246   723144243   -7.58434649e-20  
d  -0.023713193   1e-14   610493545   610493541   -6.36071671e-20  
d  -0.0233355267   1e-14   505381092   505381088   1.1919451e-20  
d  -0.0229403927   1e-14   406442559   406442555   3.84932479e-20  
d  -0.0226393044   1e-14   338866749   338866746   -3.80951345e-20  
d  -0.0222236209   1e-14   256720189   256720186   -2.54034756e-20  
d  -0.0217985968   1e-14   185857822   185857819   4.83876401e-20  
d  -0.0213541652   1e-14   125399706   125399704   -1.12939421e-20  
d  -0.0209023141   1e-14   77403662.2   77403660.7   1.32522976e-20  
d  -0.0204304181   1e-14   40692958.1   40692957.1   -4.89576026e-20  
d  -0.0199457658   1e-14   15956180.3   15956179.7   1.85260109e-22  
d  -0.0195742598   1e-14   5015415.65   5015415.34   -6.43978288e-22  
d  -0.0190608005   1e-14   53392.4386   53392.4549   1.18767734e-20  
d  -0.0185344731   1e-14   5616802.83   5616803.1   -7.95696472e-20  
d  -0.0179919269   1e-14   20821758.3   20821758.7   -7.02885475e-20  
d  -0.0174273515   1e-14   44948146.6   44948147.2   -5.66072684e-20  
d  -0.0168467249   1e-14   76659337.6   76659338.3   6.68431827e-20  
d  -0.0164023487   1e-14   104512887   104512888   3.03188352e-22  
d  -0.0157874946   1e-14   146660055   146660056   4.18417957e-20  
d  -0.0151520709   1e-14   192927128   192927129   -2.09776864e-20  
d  -0.0144962089   1e-14   241808929   241808929   8.57854155e-20  
d  -0.0138185447   1e-14   291882763   291882764   -2.30598085e-20  
d  -0.0132966424   1e-14   329260974   329260975   -1.24973018e-19  
d  -0.0125778223   1e-14   378000990   378000990   8.15117241e-20  
d  -0.0118371723   1e-14   423878694   423878694   8.29849436e-22  
d  -0.0111102886   1e-14   463800064   463800064   4.06614896e-20  
d  -0.0105866841   1e-14   489111486   489111486   1.84140299e-20  
d  -0.00991056052   1e-14   517299585   517299586   -3.79346978e-20  
d  -0.00926029712   1e-14   539521309   539521309   5.61311423e-22  
d  -0.00863417238   1e-14   556383368   556383369   1.75856705e-20  
d  -0.00803048569   1e-14   568501284   568501284   -1.84851138e-20  
d  -0.00759593663   1e-14   574779033   574779033   3.66911882e-20  
d  -0.00703554896   1e-14   579966813   579966814   -3.68808635e-20  
d  -0.0064943537   1e-14   582008307   582008307   1.61756015e-19  
d  -0.00597656207   1e-14   581385410   581385410   7.21401869e-20  
d  -0.00548503432   1e-14   578609533   578609533   8.95667298e-20  
d  -0.00500871473   1e-14   574027703   574027704   -1.51662904e-20  
d  -0.00467177685   1e-14   569736979   569736979   -1.76520213e-20  
d  -0.00423454939   1e-14   562963227   562963227   -5.19918438e-20  
d  -0.00382443109   1e-14   555460734   555460735   5.10044646e-20  
d  -0.00343505637   1e-14   547392628   547392628   -1.01809766e-21  
d  -0.00306941954   1e-14   539048323   539048324   5.11253733e-20  
d  -0.00268480482   1e-14   529539177   529539178   -1.70178754e-20  
d  -0.00227189912   1e-14   518577313   518577314   -1.74922373e-20  
d  -0.00182837929   1e-14   506032759   506032760   4.81964856e-20  
d  -0.00147863026   1e-14   495646751   495646751   3.05054844e-20  
d  -0.000976248096   1e-14   480077170   480077170   -9.29599607e-22  
d  -0.00044649928   1e-14   462973474   462973474   1.10946522e-19  
d  0.000120834825   1e-14   444058973   444058973   1.5732016e-20  
d  0.000732918365   1e-14   423174841   423174841   -2.96889661e-20  
d  0.00137091029   1e-14   401115096   401115096   -1.1705715e-22  
d  0.0018958198   1e-14   382905877   382905877   -1.03222663e-19  
d  0.00262070092   1e-14   357907530   357907531   -2.87280276e-20  
d  0.0033944278   1e-14   331705498   331705499   -5.56401242e-23  
d  0.00422022982   1e-14   304623729   304623729   -2.78059162e-20  
d  0.00487410344   1e-14   284033240   284033240   -1.22519616e-20  
d  0.00580102007   1e-14   256414172   256414172   1.32536454e-19  
d  0.00678941397   1e-14   229297890   229297890   4.02705955e-20  
d  0.00757703863   1e-14   209598580   209598580   3.8193697e-20  
d  0.00869536496   1e-14   184744096   184744096   2.3567349e-20  
d  0.00989471556   1e-14   162319402   162319402   -3.55617372e-20  
d  0.0108565195   1e-14   147547559   147547559   -2.35504485e-20  
d  0.0122266494   1e-14   131386625   131386625   9.07477841e-20  
d  0.013480972   1e-14   121450460   121450460   -4.32783939e-20  
d  0.0149175052   1e-14   115427274   115427274   2.04906482e-20  
d  0.0165084875   1e-14   114848294   114848293   -1.84451502e-20  
d  0.0180565039   1e-14   119722214   119722214   5.75145039e-20  
d  0.019574686   1e-14   128988826   128988825   4.63019446e-22  
d  0.0216425012   1e-14   147513939   147513939   -1.37052376e-19  
d  0.0230753872   1e-14   163582000   163581999   -3.25558661e-20  
d  0.0248463512   1e-14   186308235   186308235   8.19575805e-22  
d  0.0260848327   1e-14   203734817   203734817   4.48662899e-20  
d  0.0276315424   1e-14   226991224   226991224   -8.55102247e-20  
d  0.0287213549   1e-14   244329344   244329344   4.11307526e-20  
d  0.0300818497   1e-14   267275132   267275133   2.66333311e-20  
d  0.0313447068   1e-14   290604596   290604597   -6.42602341e-22  
d  0.0322256487   1e-14   309158086   309158086   -1.2010268e-22  
d  0.0333168229   1e-14   338532614   338532614   -7.07076416e-20  
d  0.0342945542   1e-14   384365733   384365733   2.33427252e-20  
d  0.0349818373   1e-14   473917414   473917414   -2.01984319e-19  
d  0.0361219877   1e-14   1.6851128e+09   1.68511278e+09   -4.350869e-20  
d  0.0375173168   1e-14   1.2894667e+09   1.2894667e+09   -2.26691049e-19  
d  0.0387604024   1e-14   946972646   946972653   3.9781132e-20  
d  0.040728611   1e-14   631735960   631735965   -7.39385783e-20  
d  0.0425271015   1e-14   517827614   517827615   6.97151319e-20  
d  0.0446193464   1e-14   483819277   483819276   3.14891663e-20  
d  0.0471031901   1e-14   480572941   480572939   1.18793494e-19  
d  0.0500985377   1e-14   460943950   460943948   -2.64330941e-20  
d  0.0537974019   1e-14   398988467   398988466   -4.71563797e-20  
d  0.0585375176   1e-14   308899197   308899197   -3.92906277e-20  
d  0.0625692386   1e-14   260439573   260439573   1.70023704e-20  
d  0.0679762499   1e-14   244604539   244604539   -1.42695444e-20  
d  0.0746666739   1e-14   267585090   267585089   -3.28118147e-20  
d  0.0831138271   1e-14   311769101   311769100   -4.68924577e-23  
d  0.0921963734   1e-14   365379029   365379029   5.58231137e-21  
d  0.10127892   1.66998843e-14   397808665   397808666   -1.40614237e-20  
d  0.110361466   3.42012435e-14   348144819   348144820   4.36585473e-21  
d  0.122471528   8.7272954e-14   162106326   162106326   5.37091946e-21  
d  0.131554074   1.65317059e-13   56996160.7   56996160.2   -1.25649856e-21  
d  0.141309983   3.16762913e-13   330934913   330934921   6.60526063e-22  
d  0.152746682   6.58243211e-13   617030279   617030277   -3.22509639e-21  
d  0.164856744   1.40593034e-12   506137499   506137501   2.28010416e-22  
d  0.176966806   3.01860308e-12   374457260   374457259   5.03426468e-22  
d  0.189076867   6.61344347e-12   415629151   415629150   -9.57897272e-23  
d  0.201186929   1.49090425e-11   294278021   294278022   1.58394284e-22  
d  0.213296991   3.474506e-11   144792618   144792619   4.67476712e-23  
d  0.225407053   8.38188532e-11   152490961   152490961   -1.29605312e-22  
d  0.237517114   2.09125513e-10   273053254   273053253   7.58978162e-23  
d  0.249627176   5.38595479e-10   356386481   356386480   -8.60095906e-23  
d  0.261737238   1.44702293e-09   335500745   335500744   2.05090642e-23  
d  0.2738473   3.29033627e-09   303801567   303801567   1.09148363e-23  
d  0.285957361   7.50261884e-09   579828203   579828204   1.88900061e-23  
d  0.298067423   1.79975681e-08   303633697   303633699   2.51890662e-25  
d  0.310177485   4.47322091e-08   284854770   284854768   3.46413767e-24  
d  0.322287547   1.13852669e-07   426490309   426490308   -7.87629471e-25  
d  0.334397608   2.93765315e-07   398732486   398732486   7.40814172e-25  
